net,length_um
_03800_,271.115µm
_02990_,271.08µm
_03766_,270.68µm
net193,270.51µm
_10598_,269.8µm
net506,269.74µm
net69,269.66µm
net545,269.66µm
net480,269.48µm
_11633_,269.465µm
_11741_,269.46µm
dec_block.block_w0_reg\[9\],269.2µm
_05633_,269.19µm
_09211_,269.1µm
_07918_,269.07µm
_04792_,268.85µm
_03879_,268.84µm
net135,268.74µm
_04036_,268.72µm
net706,268.655µm
_09173_,268.46µm
_07900_,268.39µm
_04787_,268.3µm
keymem.prev_key1_reg\[24\],267.98µm
enc_block.block_w2_reg\[2\],267.57µm
_03742_,267.435µm
_02686_,267.1µm
_03134_,266.9µm
net445,266.625µm
_04972_,266.62µm
net67,266.28µm
_04637_,266.26µm
_11097_,266.2µm
_02748_,265.79µm
keymem.prev_key1_reg\[1\],265.38µm
keymem.prev_key1_reg\[22\],265.37µm
enc_block.block_w1_reg\[27\],265.02µm
_07942_,264.97µm
_08117_,264.81µm
enc_block.block_w1_reg\[19\],264.75µm
_10920_,264.62µm
_10531_,264.6µm
